"Month","Day","Hour","Minute","Half_min","fn","volt"
8,17,10,40,1,"plot57",35.2033333333333
8,17,10,41,0,"plot57",35.3166666666667
8,17,10,41,1,"plot57",35.3633333333333
8,17,10,42,0,"plot57",35.1266666666667
8,17,10,42,1,"plot57",35.0866666666667
8,17,10,43,0,"plot57",34.8066666666667
8,17,10,43,1,"plot57",34.8666666666667
8,17,10,44,0,"plot57",35.05
8,17,10,45,0,"plot57",35.38
8,17,10,45,1,"plot57",35.2766666666667
8,17,10,46,0,"plot57",35.54
8,17,10,46,1,"plot57",35.48
8,17,10,47,0,"plot57",35.57
8,17,10,47,1,"plot57",35.58
8,17,10,48,0,"plot57",35.6133333333333
8,17,10,48,1,"plot57",35.6233333333333
8,17,10,49,0,"plot57",35.6066666666667
8,17,10,49,1,"plot57",35.7133333333333
8,17,10,50,0,"plot57",36.0066666666667
8,17,10,50,1,"plot57",35.9366666666667
8,17,10,51,0,"plot57",35.95
8,17,10,51,1,"plot57",36.03
8,17,10,52,0,"plot57",36.0733333333333
8,17,10,52,1,"plot57",35.9733333333333
8,17,10,53,0,"plot57",35.9433333333333
8,17,10,53,1,"plot57",35.8933333333333
8,17,10,54,0,"plot57",36
8,17,10,54,1,"plot57",35.7333333333333
8,17,10,55,0,"plot57",35.9466666666667
8,17,10,55,1,"plot57",35.9733333333333
8,17,10,56,0,"plot57",36.1533333333333
8,17,10,56,1,"plot57",35.9833333333333
8,17,10,57,0,"plot57",36.2166666666667
8,17,10,57,1,"plot57",36.19
8,17,10,58,0,"plot57",36.295
8,17,10,59,0,"plot57",36.52
8,17,10,59,1,"plot57",36.6133333333333
8,17,11,0,0,"plot57",36.57
8,17,11,0,1,"plot57",36.5366666666667
8,17,11,1,0,"plot57",36.7466666666667
8,17,11,1,1,"plot57",36.8233333333333
8,17,11,2,0,"plot57",36.8333333333333
8,17,11,2,1,"plot57",37.0633333333333
8,17,11,3,0,"plot57",37.01
8,17,11,3,1,"plot57",36.94
8,17,11,4,0,"plot57",36.96
8,17,11,4,1,"plot57",37.1933333333333
8,17,11,5,0,"plot57",37.3166666666667
8,17,11,5,1,"plot57",37.03
8,17,11,6,0,"plot57",37.0933333333333
8,17,11,6,1,"plot57",37.2866666666667
8,17,11,7,0,"plot57",37.3666666666667
8,17,11,7,1,"plot57",37.3466666666667
8,17,11,8,0,"plot57",37.18
8,17,11,8,1,"plot57",37.16
8,17,11,9,0,"plot57",37.2433333333333
8,17,11,9,1,"plot57",37.2966666666667
8,17,11,10,0,"plot57",37.2766666666667
8,17,11,10,1,"plot57",37.3666666666667
8,17,11,11,0,"plot57",37.5666666666667
8,17,11,11,1,"plot57",37.67
8,17,11,12,0,"plot57",37.82
8,17,11,13,0,"plot57",37.84
8,17,11,13,1,"plot57",37.8466666666667
8,17,11,14,0,"plot57",37.8466666666667
8,17,11,14,1,"plot57",37.85
8,17,11,15,0,"plot57",37.95
8,17,11,15,1,"plot57",38.0033333333333
8,17,11,16,0,"plot57",37.88
8,17,11,16,1,"plot57",37.8733333333333
8,17,11,17,0,"plot57",37.8766666666667
8,17,11,17,1,"plot57",37.9
8,17,11,18,0,"plot57",37.9666666666667
8,17,11,18,1,"plot57",38.17
8,17,11,19,0,"plot57",38.07
8,17,11,19,1,"plot57",38.1066666666667
8,17,11,20,0,"plot57",38.3233333333333
8,17,11,20,1,"plot57",38.4633333333333
8,17,11,21,0,"plot57",38.2133333333333
8,17,11,21,1,"plot57",38.57
8,17,11,22,0,"plot57",38.4633333333333
8,17,11,22,1,"plot57",38.66
8,17,11,23,0,"plot57",38.6466666666667
8,17,11,23,1,"plot57",38.59
8,17,11,24,0,"plot57",38.6766666666667
8,17,11,24,1,"plot57",38.7933333333333
8,17,11,25,0,"plot57",38.66
8,17,11,25,1,"plot57",38.42
8,17,11,26,0,"plot57",38.78
8,17,11,27,1,"plot57",38.9466666666667
8,17,11,28,0,"plot57",39.1166666666667
8,17,11,28,1,"plot57",39.2066666666667
8,17,11,29,0,"plot57",39.2566666666667
8,17,11,29,1,"plot57",39.2833333333333
8,17,11,30,0,"plot57",39.3933333333333
8,17,11,30,1,"plot57",39.2666666666667
8,17,11,31,0,"plot57",39.1733333333333
8,17,11,31,1,"plot57",39.2466666666667
8,17,11,32,0,"plot57",39.4066666666667
8,17,11,32,1,"plot57",39.11
8,17,11,33,0,"plot57",39.3433333333333
8,17,11,33,1,"plot57",39.1966666666667
8,17,11,34,0,"plot57",39.4566666666667
8,17,11,34,1,"plot57",39.55
8,17,11,35,0,"plot57",39.45
8,17,11,35,1,"plot57",39.52
8,17,11,36,0,"plot57",39.6833333333333
8,17,11,36,1,"plot57",39.6066666666667
8,17,11,37,0,"plot57",39.7766666666667
8,17,11,37,1,"plot57",39.7133333333333
8,17,11,38,0,"plot57",39.6833333333333
8,17,11,38,1,"plot57",39.5666666666667
8,17,11,39,0,"plot57",39.2566666666667
8,17,11,39,1,"plot57",39.29
8,17,11,40,0,"plot57",39.68
8,17,11,40,1,"plot57",39.67
8,17,11,41,1,"plot57",40.205
8,17,11,42,0,"plot57",40.1433333333333
8,17,11,42,1,"plot57",40
8,17,11,43,0,"plot57",40.0133333333333
8,17,11,43,1,"plot57",40.34
8,17,11,44,0,"plot57",40.3333333333333
8,17,11,44,1,"plot57",40.2333333333333
8,17,11,45,0,"plot57",40.2733333333333
8,17,11,45,1,"plot57",40.3633333333333
8,17,11,46,0,"plot57",40.3766666666667
8,17,11,46,1,"plot57",40.43
8,17,11,47,0,"plot57",40.41
8,17,11,47,1,"plot57",40.44
8,17,11,48,0,"plot57",40.52
8,17,11,48,1,"plot57",40.4966666666667
8,17,11,49,0,"plot57",40.6633333333333
8,17,11,49,1,"plot57",40.8366666666667
8,17,11,50,0,"plot57",40.87
8,17,11,50,1,"plot57",40.9333333333333
8,17,11,51,0,"plot57",40.85
8,17,11,51,1,"plot57",40.9266666666667
8,17,11,52,0,"plot57",41.1066666666667
8,17,11,52,1,"plot57",41.2033333333333
8,17,11,53,0,"plot57",41.2333333333333
8,17,11,53,1,"plot57",41.1466666666667
8,17,11,54,0,"plot57",41.2266666666667
8,17,11,54,1,"plot57",41.17
8,17,11,55,1,"plot57",41.18
8,17,11,56,0,"plot57",41.2966666666667
8,17,11,56,1,"plot57",41.41
8,17,11,57,0,"plot57",41.5666666666667
8,17,11,57,1,"plot57",41.34
8,17,11,58,0,"plot57",41.4
8,17,11,58,1,"plot57",41.3833333333333
8,17,11,59,0,"plot57",41.5633333333333
8,17,11,59,1,"plot57",41.62
8,17,12,0,0,"plot57",41.74
8,17,12,0,1,"plot57",41.8033333333333
8,17,12,1,0,"plot57",42.04
8,17,12,1,1,"plot57",42.1566666666667
8,17,12,2,0,"plot57",42.1566666666667
8,17,12,2,1,"plot57",42.3533333333333
8,17,12,3,0,"plot57",42.36
8,17,12,3,1,"plot57",42.3966666666667
8,17,12,4,0,"plot57",42.5633333333333
8,17,12,4,1,"plot57",42.8
8,17,12,5,0,"plot57",42.4966666666667
8,17,12,5,1,"plot57",42.5266666666667
8,17,12,6,0,"plot57",42.6433333333333
8,17,12,6,1,"plot57",42.67
8,17,12,7,0,"plot57",42.78
8,17,12,7,1,"plot57",42.7133333333333
8,17,12,8,0,"plot57",42.3533333333333
8,17,12,8,1,"plot57",42.4533333333333
8,17,12,10,0,"plot57",41.9466666666667
8,17,12,10,1,"plot57",42.08
