"Tag","Fruit_no","Full_fruit_wt","Total_n_seeds","Full__n_seeds","All_seeds__wt","Date_counted","Notes"
1312,5,NA,NA,NA,NA,NA,NA
1312,6,NA,NA,NA,NA,NA,NA
1312,7,NA,NA,NA,NA,NA,NA
1255,1,NA,NA,NA,NA,NA,NA
1255,2,NA,NA,NA,NA,NA,NA
1082,1,NA,NA,NA,NA,NA,NA
1040,1,NA,NA,NA,NA,NA,NA
1040,2,NA,NA,NA,NA,NA,NA
1181,1,NA,NA,NA,NA,NA,NA
1181,2,NA,NA,NA,NA,NA,NA
1181,3,NA,NA,NA,NA,NA,NA
1310,1,NA,NA,NA,NA,NA,NA
